date,qty,tavg,prcp,tsun,sale_percent,weather_label,sale_active
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,1.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,1.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,4.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,1.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,1.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,1.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,2.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,5.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,1.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.2,rain,True
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-17,0.0,4.9,2.4,40.0,0.0,rain,False
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
2025-11-18,0.0,1.6,0.0,474.0,0.0,sun,False
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
2025-11-18,0.0,1.6,0.0,474.0,0.0,sun,False
2025-11-18,0.0,1.6,0.0,474.0,0.0,sun,False
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
2025-11-18,0.0,1.6,0.0,474.0,0.0,sun,False
2025-11-18,0.0,1.6,0.0,474.0,0.2,sun,True
