date,SKU,qty,tavg,prcp,tsun,sale_percent,weather_label,sale_active
2024-01-26,sw100173,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9317sf,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92032,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10173,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9108fz,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9312fz,1.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92078,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sz21031,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10302,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100174,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9108sf,2.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10303,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9105ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10262,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100175,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92056,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9314fz,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9115dx,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9205,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92066,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sz11011,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10113,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9115ub,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10132,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92108,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10272,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9318ub,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9204,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz11022,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9317dx,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9316ub,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92024,2.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sz11031,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10112,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9104fz,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sw100382,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92018,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92096,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92016,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga11002,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100042,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92014,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92092,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92012,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10131,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9317fz,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz21011,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9316sf,4.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92042,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100041,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9201,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9104sf,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz11021,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100045,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sw10004,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92098,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9311dx,6.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92106,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9313fz,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga1011sf,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sz11012,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100043,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga10273,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,92034,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10111,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,92022,1.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100044,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9202,2.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,9115fz,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9104dx,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,ga11001,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,9209,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz11032,0.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,ga10133,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-26,sz1103sf,4.0,9.0,1.2,0.0,0.0,rain,False
2024-01-26,sw100381,0.0,9.0,1.2,0.0,0.24,rain,True
2024-01-27,9312dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sw100172,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10282,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92104,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9208,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92036,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100045,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10311,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9109fz,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100182,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92098,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9106dx,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92106,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92062,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,92054,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga1016sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sw100181,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga1030sf,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9317ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga1011sf,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9109dx,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9102fz,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10171,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sw10018,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92014,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,sw100171,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sz1103sf,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9105sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,ga10111,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9106ub,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,sz21032,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,ga10261,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9110fz,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9317fz,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,9314sf,0.0,3.0,0.0,510.0,0.24,sun,True
2024-01-27,92092,0.0,3.0,0.0,510.0,0.0,sun,False
2024-01-27,9103fz,0.0,3.0,0.0,510.0,0.24,sun,True
